,best_loss,x0,x1,x2,x3,x4,x5,x6,optimizer,learning_rate,mse,rmse,mae,mape,r2,time_stamp
5,0.013153527863323689,6,0,0,0,0,12,0.3,Adam,0.01,8631.176,92.904,75.194,0.018,0.9,2025-04-21 11:39:44.881222
10,0.014071706682443619,9,0,0,0,0,12,0.3,Adamax,0.01,6680.3,81.733,67.455,0.016,0.923,2025-04-21 11:39:44.881222
30,0.011204889975488186,15,0,0,0,0,14,0.3,RMSprop,0.01,8565.162,92.548,74.582,0.018,0.901,2025-04-21 11:39:44.881222
60,0.01603415608406067,7,0,0,0,0,5,0.3,RMSprop,0.01,8428.263,91.806,74.01,0.018,0.902,2025-04-21 11:39:44.881222
120,0.01336352527141571,15,0,0,0,0,3,0.3,RMSprop,0.01,17825.69,133.513,106.304,0.025,0.793,2025-04-21 11:39:44.881222
5,0.0131535278633236,6,0,0,0,0,12,0.3,Adam,0.01,6926.974,83.228,67.661,0.016,0.92,2025-04-22 19:52:34.913284
10,0.0140717066824436,9,0,0,0,0,12,0.3,Adamax,0.01,7578.515,87.055,71.321,0.017,0.912,2025-04-22 19:52:34.913284
30,0.0112048899754881,15,0,0,0,0,14,0.3,RMSprop,0.01,4747.406,68.901,56.919,0.014,0.945,2025-04-22 19:52:34.913284
60,0.0160341560840606,7,0,0,0,0,5,0.3,RMSprop,0.01,7852.588,88.615,71.846,0.017,0.909,2025-04-22 19:52:34.913284
120,0.0133635252714157,15,0,0,0,0,3,0.3,RMSprop,0.01,4828.964,69.491,57.187,0.014,0.944,2025-04-22 19:52:34.913284
5,0.0131535278633236,6,0,0,0,0,12,0.3,Adam,0.01,8784.23,93.724,76.289,0.018,0.898,2025-04-23 20:56:36.187581
10,0.012666742317378521,12,0,0,1,1,15,0.5,RMSprop,0.01,16102.144,126.894,101.65,0.024,0.813,2025-04-23 20:56:36.187581
30,0.0112048899754881,15,0,0,0,0,14,0.3,RMSprop,0.01,5336.372,73.05,59.701,0.015,0.938,2025-04-23 20:56:36.187581
60,0.013132673688232899,20,1,6,0,0,16,0.3,RMSprop,0.01,5843.995,76.446,63.265,0.016,0.932,2025-04-23 20:56:36.187581
120,0.011805497109889984,6,0,0,1,14,10,0.3,RMSprop,0.01,12088.535,109.948,91.089,0.022,0.86,2025-04-23 20:56:36.187581
5,0.0131535278633236,6,0,0,0,0,12,0.3,Adam,0.01,5613.507,74.923,61.783,0.015,0.935,2025-04-24 03:30:21.286060
5,0.0131535278633236,6,0,0,0,0,12,0.3,Adam,0.01,,,,,,2025-04-24 03:30:21.286060
5,0.22785620391368866,19,1,16,1,17,1,0.4,RMSprop,0.001,,,,,,2025-04-24 03:30:21.286060
5,0.0131535278633236,6,0,0,0,0,12,0.3,Adam,0.01,6648.962,81.541,67.275,0.016,0.923,2025-04-24 03:33:09.074668
5,0.2278562039136886,19,1,16,1,17,1,0.4,RMSprop,0.001,,,,,,2025-04-24 03:33:09.074668
5,0.0131535278633236,6,0,0,0,0,12,0.3,Adam,0.01,7305.306,85.471,70.564,0.017,0.915,2025-04-24 03:34:56.775401
5,0.2278562039136886,19,1,16,1,17,1,0.4,RMSprop,0.001,,,,,,2025-04-24 03:34:56.775401
5,0.0131535278633236,6,0,0,0,0,12,0.3,Adam,0.01,4705.087,68.594,56.506,0.014,0.945,2025-04-24 03:42:04.681876
10,0.0126667423173785,12,0,0,1,1,15,0.5,RMSprop,0.01,16618.355,128.912,102.371,0.025,0.807,2025-04-24 03:42:04.681876
30,0.0112048899754881,15,0,0,0,0,14,0.3,RMSprop,0.01,4420.396,66.486,54.896,0.013,0.949,2025-04-24 03:42:04.681876
60,0.0131326736882328,20,1,6,0,0,16,0.3,RMSprop,0.01,5262.853,72.546,59.929,0.015,0.939,2025-04-24 03:42:04.681876
120,0.0118054971098899,6,0,0,1,14,10,0.3,RMSprop,0.01,16890.096,129.962,106.706,0.026,0.804,2025-04-24 03:42:04.681876
120,0.0133635252714157,15,0,0,0,0,3,0.3,RMSprop,0.01,,,,,,2025-04-24 03:42:04.681876
5,0.0131535278633236,6,0,0,0,0,12,0.3,Adam,0.01,4972.279,70.514,58.104,0.014,0.942,2025-04-24 04:05:03.744621
10,0.0126667423173785,12,0,0,1,1,15,0.5,RMSprop,0.01,6351.684,79.697,65.307,0.016,0.926,2025-04-24 04:05:03.744621
30,0.0112048899754881,15,0,0,0,0,14,0.3,RMSprop,0.01,4031.319,63.493,51.672,0.013,0.953,2025-04-24 04:05:03.744621
60,0.01256648637354374,20,1,5,0,0,15,0.3,RMSprop,0.01,8284.208,91.018,74.121,0.018,0.904,2025-04-24 04:05:03.744621
120,0.0118054971098899,6,0,0,1,14,10,0.3,RMSprop,0.01,6657.37,81.593,67.837,0.016,0.923,2025-04-24 04:05:03.744621
5,0.2278562039136886,19,1,16,1,17,1,0.4,RMSprop,0.001,,,,,,2025-04-24 04:05:03.744621
10,0.0140717066824436,9,0,0,0,0,12,0.3,Adamax,0.01,,,,,,2025-04-24 04:05:03.744621
30,0.06500261276960373,4,1,20,0,0,10,0.7,Adamax,0.01,,,,,,2025-04-24 04:05:03.744621
60,0.0160341560840606,7,0,0,0,0,5,0.3,RMSprop,0.01,,,,,,2025-04-24 04:05:03.744621
120,0.0133635252714157,15,0,0,0,0,3,0.3,RMSprop,0.01,,,,,,2025-04-24 04:05:03.744621
5,0.0131535278633236,6,0,0,0,0,12,0.3,Adam,0.01,6049.957,77.781,64.28,0.016,0.93,2025-04-24 06:49:15.069123
10,0.0126667423173785,12,0,0,1,1,15,0.5,RMSprop,0.01,24485.116,156.477,122.145,0.029,0.716,2025-04-24 06:49:15.069123
30,0.00982658937573433,14,0,0,0,0,15,0.3,RMSprop,0.01,3978.12,63.072,50.899,0.012,0.954,2025-04-24 06:49:15.069123
60,0.011818439699709415,7,0,0,0,0,6,0.3,RMSprop,0.01,5418.862,73.613,60.188,0.015,0.937,2025-04-24 06:49:15.069123
120,0.0118054971098899,6,0,0,1,14,10,0.3,RMSprop,0.01,7699.206,87.745,72.192,0.018,0.911,2025-04-24 06:49:15.069123
5,0.027013001963496208,20,0,0,0,0,20,0.3,Adamax,0.001,,,,,,2025-04-24 06:49:15.069123
5,0.027213197201490402,18,1,18,1,15,16,0.6,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
5,0.028870465233922005,5,0,0,1,12,4,0.4,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
5,0.033151861280202866,16,1,12,0,0,16,0.7,Adam,0.01,,,,,,2025-04-24 06:49:15.069123
5,0.0351376011967659,4,1,4,1,12,5,0.3,Adam,0.001,,,,,,2025-04-24 06:49:15.069123
5,0.0465850904583931,12,1,14,0,0,10,0.3,RMSprop,0.0001,,,,,,2025-04-24 06:49:15.069123
5,0.095891572535038,11,1,4,1,14,6,0.3,Adam,0.0001,,,,,,2025-04-24 06:49:15.069123
5,0.2278468757867813,20,1,17,1,15,1,0.4,RMSprop,0.001,,,,,,2025-04-24 06:49:15.069123
5,0.3594653904438019,7,1,3,0,0,2,0.6,Adam,0.001,,,,,,2025-04-24 06:49:15.069123
10,0.0140717066824436,9,0,0,0,0,12,0.3,Adamax,0.01,,,,,,2025-04-24 06:49:15.069123
10,0.014814977534115314,6,0,0,0,0,9,0.3,Adam,0.01,,,,,,2025-04-24 06:49:15.069123
10,0.033599596470594406,17,1,3,0,0,19,0.6,Adamax,0.01,,,,,,2025-04-24 06:49:15.069123
10,0.03553241491317749,11,0,0,0,0,2,0.3,RMSprop,0.001,,,,,,2025-04-24 06:49:15.069123
10,0.03757195547223091,13,1,2,0,0,6,0.6,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
10,0.05463723838329315,17,1,9,1,13,7,0.5,RMSprop,0.001,,,,,,2025-04-24 06:49:15.069123
10,0.0672265961766243,13,1,11,1,11,2,0.3,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
10,0.06955231726169586,19,1,6,1,18,20,0.6,Adagrad,0.01,,,,,,2025-04-24 06:49:15.069123
10,0.5680747628211975,10,0,0,1,9,1,0.6,Adam,0.01,,,,,,2025-04-24 06:49:15.069123
30,0.03586059436202049,2,0,0,0,0,14,0.6,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
30,0.03902924805879593,3,0,0,0,0,16,0.5,Adam,0.001,,,,,,2025-04-24 06:49:15.069123
30,0.0431622639298439,14,1,17,1,19,2,0.3,RMSprop,0.001,,,,,,2025-04-24 06:49:15.069123
30,0.05707719549536705,17,1,20,0,0,20,0.7,Adamax,0.001,,,,,,2025-04-24 06:49:15.069123
30,0.0650026127696037,4,1,20,0,0,10,0.7,Adamax,0.01,,,,,,2025-04-24 06:49:15.069123
30,0.07018673419952393,9,1,9,1,10,13,0.4,Adagrad,0.01,,,,,,2025-04-24 06:49:15.069123
30,0.08035895228385925,4,1,2,1,9,3,0.3,Adagrad,0.01,,,,,,2025-04-24 06:49:15.069123
30,0.08090909570455551,10,0,0,0,0,6,0.4,Adam,0.0001,,,,,,2025-04-24 06:49:15.069123
30,0.6467531323432922,8,0,0,0,0,19,0.3,SGD,0.0001,,,,,,2025-04-24 06:49:15.069123
60,0.012227040715515614,19,1,7,0,0,15,0.3,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
60,0.0125664863735437,20,1,5,0,0,15,0.3,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
60,0.017325853928923607,7,0,0,1,1,9,0.3,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
60,0.01995191164314747,13,0,0,0,0,20,0.6,Adamax,0.01,,,,,,2025-04-24 06:49:15.069123
60,0.029783928766846657,20,0,0,0,0,8,0.4,Adamax,0.001,,,,,,2025-04-24 06:49:15.069123
60,0.03214029595255852,5,0,0,0,0,9,0.5,Adam,0.01,,,,,,2025-04-24 06:49:15.069123
60,0.11184372752904892,2,0,0,1,2,6,0.5,Adam,0.001,,,,,,2025-04-24 06:49:15.069123
60,0.17863550782203674,11,0,0,1,16,7,0.7,Adamax,0.001,,,,,,2025-04-24 06:49:15.069123
60,0.27477380633354187,10,0,0,1,13,4,0.3,SGD,0.001,,,,,,2025-04-24 06:49:15.069123
120,0.0133635252714157,15,0,0,0,0,3,0.3,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
120,0.015101077035069466,19,0,0,0,0,10,0.5,Adam,0.01,,,,,,2025-04-24 06:49:15.069123
120,0.0193510502576828,13,1,6,0,0,8,0.4,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
120,0.030115848407149315,20,1,1,0,0,5,0.5,RMSprop,0.01,,,,,,2025-04-24 06:49:15.069123
120,0.043423887342214584,18,0,0,0,0,15,0.6,Adamax,0.001,,,,,,2025-04-24 06:49:15.069123
120,0.04468410462141037,5,0,0,0,0,20,0.6,Adamax,0.001,,,,,,2025-04-24 06:49:15.069123
120,0.06138712167739868,20,1,2,1,2,12,0.5,RMSprop,0.001,,,,,,2025-04-24 06:49:15.069123
120,0.11411886662244797,13,1,8,1,7,8,0.4,RMSprop,0.0001,,,,,,2025-04-24 06:49:15.069123
120,0.1841518133878708,14,0,0,1,15,2,0.5,Adam,0.0001,,,,,,2025-04-24 06:49:15.069123
